@relation FemaleData

@attribute 'Cancer Site' {'All Sites','Colon and Rectum','Lung and Bronchus',Ovary,'Brain and Other Nervous System','Female Breast'}
@attribute 'Cancer Free Age' numeric
@attribute 'Probability of Developing Cancer (\%) by Age' numeric
@attribute Risk numeric

@data
'Lung and Bronchus',15,80,4.111
'Lung and Bronchus',15,85,5.036
'Lung and Bronchus',15,90,5.611
'Lung and Bronchus',15,95,5.843
'Lung and Bronchus',15,95,5.931
'Lung and Bronchus',20,5,?
'Lung and Bronchus',20,10,?
'Lung and Bronchus',20,15,?
'Lung and Bronchus',20,20,?
'Lung and Bronchus',20,25,0.002
'Lung and Bronchus',20,30,0.005
'Lung and Bronchus',20,35,0.011
'Lung and Bronchus',20,40,0.025
'Lung and Bronchus',20,45,0.06
'Lung and Bronchus',20,50,0.149
'Lung and Bronchus',20,55,0.349
'Lung and Bronchus',20,60,0.692
'Lung and Bronchus',20,65,1.198
'Lung and Bronchus',20,70,1.972
'Lung and Bronchus',20,75,3.015
'Lung and Bronchus',20,80,4.115
'Lung and Bronchus',20,85,5.042
'Lung and Bronchus',20,90,5.617
'Lung and Bronchus',20,95,5.85
'Lung and Bronchus',20,95,5.938
'Lung and Bronchus',25,5,?
'Lung and Bronchus',25,10,?
'Lung and Bronchus',25,15,?
'Lung and Bronchus',25,20,?
'Lung and Bronchus',25,25,?
'Lung and Bronchus',25,30,0.003
'Lung and Bronchus',25,35,0.01
'Lung and Bronchus',25,40,0.024
'Lung and Bronchus',25,45,0.059
'Lung and Bronchus',25,50,0.147
'Lung and Bronchus',25,55,0.348
'Lung and Bronchus',25,60,0.691
'Lung and Bronchus',25,65,1.199
'Lung and Bronchus',25,70,1.975
'Lung and Bronchus',25,75,3.019
'Lung and Bronchus',25,80,4.122
'Lung and Bronchus',25,85,5.051
'Lung and Bronchus',25,90,5.627
'Lung and Bronchus',25,95,5.861
'Lung and Bronchus',25,95,5.949
'Lung and Bronchus',30,5,?
'Lung and Bronchus',30,10,?
'Lung and Bronchus',30,15,?
'Lung and Bronchus',30,20,?
'Lung and Bronchus',30,25,?
'Lung and Bronchus',30,30,?
'Lung and Bronchus',30,35,0.007
'Lung and Bronchus',30,40,0.021
'Lung and Bronchus',30,45,0.056
'Lung and Bronchus',30,50,0.144
'Lung and Bronchus',30,55,0.346
'Lung and Bronchus',30,60,0.69
'Lung and Bronchus',30,65,1.199
'Lung and Bronchus',30,70,1.977
'Lung and Bronchus',30,75,3.024
'Lung and Bronchus',30,80,4.13
'Lung and Bronchus',30,85,5.061
'Lung and Bronchus',30,90,5.639
'Lung and Bronchus',30,95,5.874
'Lung and Bronchus',30,95,5.962
'Lung and Bronchus',35,5,?
'Lung and Bronchus',35,10,?
'Lung and Bronchus',35,15,?
'Lung and Bronchus',35,20,?
'Lung and Bronchus',35,25,?
'Lung and Bronchus',35,30,?
'Lung and Bronchus',35,35,?
'Lung and Bronchus',35,40,0.014
'Lung and Bronchus',35,45,0.049
'Lung and Bronchus',35,50,0.139
'Lung and Bronchus',35,55,0.341
'Lung and Bronchus',35,60,0.686
'Lung and Bronchus',35,65,1.197
'Lung and Bronchus',35,70,1.978
'Lung and Bronchus',35,75,3.029
'Lung and Bronchus',35,80,4.139
'Lung and Bronchus',35,85,5.073
'Lung and Bronchus',35,90,5.653
'Lung and Bronchus',35,95,5.888
'Lung and Bronchus',35,95,5.977
'Lung and Bronchus',40,5,?
'Lung and Bronchus',40,10,?
'Lung and Bronchus',40,15,?
'Lung and Bronchus',40,20,?
'Lung and Bronchus',40,25,?
'Lung and Bronchus',40,30,?
'Lung and Bronchus',40,35,?
'Lung and Bronchus',40,40,?
'Lung and Bronchus',40,45,0.035
'Lung and Bronchus',40,50,0.125
'Lung and Bronchus',40,55,0.328
'Lung and Bronchus',40,60,0.675
'Lung and Bronchus',40,65,1.188
'Lung and Bronchus',40,70,1.973
'Lung and Bronchus',40,75,3.03
'Lung and Bronchus',40,80,4.145
'Lung and Bronchus',40,85,5.084
'Lung and Bronchus',40,90,5.668
'Lung and Bronchus',40,95,5.904
'Lung and Bronchus',40,95,5.993
'Lung and Bronchus',45,5,?
'Lung and Bronchus',45,10,?
'Lung and Bronchus',45,15,?
'Lung and Bronchus',45,20,?
'Lung and Bronchus',45,25,?
'Lung and Bronchus',45,30,?
'Lung and Bronchus',45,35,?
'Lung and Bronchus',45,40,?
'Lung and Bronchus',45,45,?
'Lung and Bronchus',45,50,0.09
'Lung and Bronchus',45,55,0.295
'Lung and Bronchus',45,60,0.645
'Lung and Bronchus',45,65,1.162
'Lung and Bronchus',45,70,1.953
'Lung and Bronchus',45,75,3.017
'Lung and Bronchus',45,80,4.141
'Lung and Bronchus',45,85,5.087
'Lung and Bronchus',45,90,5.675
'Lung and Bronchus',45,95,5.913
'Lung and Bronchus',45,95,6.002
'Lung and Bronchus',50,5,?
'Lung and Bronchus',50,10,?
'Lung and Bronchus',50,15,?
'Lung and Bronchus',50,20,?
'Lung and Bronchus',50,25,?
'Lung and Bronchus',50,30,?
'Lung and Bronchus',50,35,?
'Lung and Bronchus',50,40,?
'Lung and Bronchus',50,45,?
'Lung and Bronchus',50,50,?
'Lung and Bronchus',50,55,0.207
'Lung and Bronchus',50,60,0.561
'Lung and Bronchus',50,65,1.084
'Lung and Bronchus',50,70,1.885
'Lung and Bronchus',50,75,2.962
'Lung and Bronchus',50,80,4.099
'Lung and Bronchus',50,85,5.057
'Lung and Bronchus',50,90,5.651
'Lung and Bronchus',50,95,5.892
'Lung and Bronchus',50,95,5.983
'Lung and Bronchus',55,5,?
'Lung and Bronchus',55,10,?
'Lung and Bronchus',55,15,?
'Lung and Bronchus',55,20,?
'Lung and Bronchus',55,25,?
'Lung and Bronchus',55,30,?
'Lung and Bronchus',55,35,?
'Lung and Bronchus',55,40,?
'Lung and Bronchus',55,45,?
'Lung and Bronchus',55,50,?
'Lung and Bronchus',55,55,?
'Lung and Bronchus',55,60,0.361
'Lung and Bronchus',55,65,0.894
'Lung and Bronchus',55,70,1.709
'Lung and Bronchus',55,75,2.807
'Lung and Bronchus',55,80,3.966
'Lung and Bronchus',55,85,4.941
'Lung and Bronchus',55,90,5.547
'Lung and Bronchus',55,95,5.793
'Lung and Bronchus',55,95,5.885
'Lung and Bronchus',60,5,?
'Lung and Bronchus',60,10,?
'Lung and Bronchus',60,15,?
'Lung and Bronchus',60,20,?
'Lung and Bronchus',60,25,?
'Lung and Bronchus',60,30,?
'Lung and Bronchus',60,35,?
'Lung and Bronchus',60,40,?
'Lung and Bronchus',60,45,?
'Lung and Bronchus',60,50,?
'Lung and Bronchus',60,55,?
'Lung and Bronchus',60,60,?
'Lung and Bronchus',60,65,0.548
'Lung and Bronchus',60,70,1.386
'Lung and Bronchus',60,75,2.515
'Lung and Bronchus',60,80,3.706
'Lung and Bronchus',60,85,4.709
'Lung and Bronchus',60,90,5.332
'Lung and Bronchus',60,95,5.584
'Lung and Bronchus',60,95,5.679
'Lung and Bronchus',65,5,?
'Lung and Bronchus',65,10,?
'Lung and Bronchus',65,15,?
'Lung and Bronchus',65,20,?
'Lung and Bronchus',65,25,?
'Lung and Bronchus',65,30,?
'Lung and Bronchus',65,35,?
'Lung and Bronchus',65,40,?
'Lung and Bronchus',65,45,?
'Lung and Bronchus',65,50,?
'Lung and Bronchus',65,55,?
'Lung and Bronchus',65,60,?
'Lung and Bronchus',65,65,?
'Lung and Bronchus',65,70,0.872
'Lung and Bronchus',65,75,2.047
'Lung and Bronchus',65,80,3.286
'Lung and Bronchus',65,85,4.33
'Lung and Bronchus',65,90,4.978
'Lung and Bronchus',65,95,5.24
'Lung and Bronchus',65,95,5.339
'Lung and Bronchus',70,5,?
'Lung and Bronchus',70,10,?
'Lung and Bronchus',70,15,?
'Lung and Bronchus',70,20,?
'Lung and Bronchus',70,25,?
'Lung and Bronchus',70,30,?
'Lung and Bronchus',70,35,?
'Lung and Bronchus',70,40,?
'Lung and Bronchus',70,45,?
'Lung and Bronchus',70,50,?
'Lung and Bronchus',70,55,?
'Lung and Bronchus',70,60,?
'Lung and Bronchus',70,65,?
'Lung and Bronchus',70,70,?
'Lung and Bronchus',70,75,1.247
'Lung and Bronchus',70,80,2.563
'Lung and Bronchus',70,85,3.671
'Lung and Bronchus',70,90,4.359
'Lung and Bronchus',70,95,4.638
'Lung and Bronchus',70,95,4.742
'Lung and Bronchus',75,5,?
'Lung and Bronchus',75,10,?
'Lung and Bronchus',75,15,?
'Lung and Bronchus',75,20,?
'Lung and Bronchus',75,25,?
'Lung and Bronchus',75,30,?
'Lung and Bronchus',75,35,?
'Lung and Bronchus',75,40,?
'Lung and Bronchus',75,45,?
'Lung and Bronchus',75,50,?
'Lung and Bronchus',75,55,?
'Lung and Bronchus',75,60,?
'Lung and Bronchus',75,65,?
'Lung and Bronchus',75,70,?
'Lung and Bronchus',75,75,?
'Lung and Bronchus',75,80,1.448
'Lung and Bronchus',75,85,2.666
'Lung and Bronchus',75,90,3.423
'Lung and Bronchus',75,95,3.73
'Lung and Bronchus',75,95,3.845
'Lung and Bronchus',80,5,?
'Lung and Bronchus',80,10,?
'Lung and Bronchus',80,15,?
'Lung and Bronchus',80,20,?
'Lung and Bronchus',80,25,?
'Lung and Bronchus',80,30,?
'Lung and Bronchus',80,35,?
'Lung and Bronchus',80,40,?
'Lung and Bronchus',80,45,?
'Lung and Bronchus',80,50,?
'Lung and Bronchus',80,55,?
'Lung and Bronchus',80,60,?
'Lung and Bronchus',80,65,?
'Lung and Bronchus',80,70,?
'Lung and Bronchus',80,75,?
'Lung and Bronchus',80,80,?
'Lung and Bronchus',80,85,1.424
'Lung and Bronchus',80,90,2.308
'Lung and Bronchus',80,95,2.666
'Lung and Bronchus',80,95,2.801
'Lung and Bronchus',85,5,?
'Lung and Bronchus',85,10,?
'Lung and Bronchus',85,15,?
'Lung and Bronchus',85,20,?
'Lung and Bronchus',85,25,?
'Lung and Bronchus',85,30,?
'Lung and Bronchus',85,35,?
'Lung and Bronchus',85,40,?
'Lung and Bronchus',85,45,?
'Lung and Bronchus',85,50,?
'Lung and Bronchus',85,55,?
'Lung and Bronchus',85,60,?
'Lung and Bronchus',85,65,?
'Lung and Bronchus',85,70,?
'Lung and Bronchus',85,75,?
'Lung and Bronchus',85,80,?
'Lung and Bronchus',85,85,?
'Lung and Bronchus',85,90,1.151
'Lung and Bronchus',85,95,1.617
'Lung and Bronchus',85,95,1.793
'Lung and Bronchus',90,5,?
'Lung and Bronchus',90,10,?
'Lung and Bronchus',90,15,?
'Lung and Bronchus',90,20,?
'Lung and Bronchus',90,25,?
'Lung and Bronchus',90,30,?
'Lung and Bronchus',90,35,?
'Lung and Bronchus',90,40,?
'Lung and Bronchus',90,45,?
'Lung and Bronchus',90,50,?
'Lung and Bronchus',90,55,?
'Lung and Bronchus',90,60,?
'Lung and Bronchus',90,65,?
'Lung and Bronchus',90,70,?
'Lung and Bronchus',90,75,?
'Lung and Bronchus',90,80,?
'Lung and Bronchus',90,85,?
'Lung and Bronchus',90,90,?
'Lung and Bronchus',90,95,0.74
'Lung and Bronchus',90,95,1.019
'Lung and Bronchus',95,5,?
'Lung and Bronchus',95,10,?
'Lung and Bronchus',95,15,?
'Lung and Bronchus',95,20,?
'Lung and Bronchus',95,25,?
'Lung and Bronchus',95,30,?
'Lung and Bronchus',95,35,?
'Lung and Bronchus',95,40,?
'Lung and Bronchus',95,45,?
'Lung and Bronchus',95,50,?
'Lung and Bronchus',95,55,?
'Lung and Bronchus',95,60,?
'Lung and Bronchus',95,65,?
'Lung and Bronchus',95,70,?
'Lung and Bronchus',95,75,?
'Lung and Bronchus',95,80,?
'Lung and Bronchus',95,85,?
'Lung and Bronchus',95,90,?
'Lung and Bronchus',95,95,?
'Lung and Bronchus',95,95,0.609
Ovary,0,5,0.001
Ovary,0,10,0.002
Ovary,0,15,0.006
Ovary,0,20,0.013
Ovary,0,25,0.022
Ovary,0,30,0.035
Ovary,0,35,0.052
Ovary,0,40,0.076
Ovary,0,45,0.119
Ovary,0,50,0.184
Ovary,0,55,0.277
Ovary,0,60,0.388
Ovary,0,65,0.518
Ovary,0,70,0.666
Ovary,0,75,0.821
Ovary,0,80,0.974
Ovary,0,85,1.11
Ovary,0,90,1.205
Ovary,0,95,1.249
Ovary,0,95,1.268
Ovary,5,5,?
Ovary,5,10,0.001
Ovary,5,15,0.005
Ovary,5,20,0.013
Ovary,5,25,0.022
Ovary,5,30,0.035
Ovary,5,35,0.051
Ovary,5,40,0.076
Ovary,5,45,0.119
Ovary,5,50,0.186
Ovary,5,55,0.279
Ovary,5,60,0.391
Ovary,5,65,0.522
Ovary,5,70,0.671
Ovary,5,75,0.828
Ovary,5,80,0.983
Ovary,5,85,1.12
Ovary,5,90,1.216
Ovary,5,95,1.26
Ovary,5,95,1.279
Ovary,10,5,?
Ovary,10,10,?
Ovary,10,15,0.004
Ovary,10,20,0.011
Ovary,10,25,0.021
Ovary,10,30,0.033
Ovary,10,35,0.05
Ovary,10,40,0.074
Ovary,10,45,0.118
Ovary,10,50,0.184
Ovary,10,55,0.278
Ovary,10,60,0.39
Ovary,10,65,0.521
Ovary,10,70,0.67
Ovary,10,75,0.827
Ovary,10,80,0.982
Ovary,10,85,1.119
Ovary,10,90,1.215
Ovary,10,95,1.259
Ovary,10,95,1.278
Ovary,15,5,?
Ovary,15,10,?
Ovary,15,15,?
Ovary,15,20,0.007
Ovary,15,25,0.017
Ovary,15,30,0.029
Ovary,15,35,0.046
Ovary,15,40,0.07
Ovary,15,45,0.114
Ovary,15,50,0.18
Ovary,15,55,0.274
Ovary,15,60,0.386
Ovary,15,65,0.517
Ovary,15,70,0.667
Ovary,15,75,0.824
Ovary,15,80,0.979
Ovary,15,85,1.116
Ovary,15,90,1.212
Ovary,15,95,1.256
Ovary,15,95,1.275
Ovary,20,5,?
Ovary,20,10,?
Ovary,20,15,?
Ovary,20,20,?
Ovary,20,25,0.009
Ovary,20,30,0.022
Ovary,20,35,0.039
Ovary,20,40,0.063
Ovary,20,45,0.107
Ovary,20,50,0.173
Ovary,20,55,0.267
Ovary,20,60,0.379
Ovary,20,65,0.511
Ovary,20,70,0.66
Ovary,20,75,0.818
Ovary,20,80,0.973
Ovary,20,85,1.11
Ovary,20,90,1.207
Ovary,20,95,1.251
Ovary,20,95,1.269
Ovary,25,5,?
Ovary,25,10,?
Ovary,25,15,?
Ovary,25,20,?
Ovary,25,25,?
Ovary,25,30,0.013
Ovary,25,35,0.03
Ovary,25,40,0.054
Ovary,25,45,0.098
Ovary,25,50,0.164
Ovary,25,55,0.258
Ovary,25,60,0.37
Ovary,25,65,0.502
Ovary,25,70,0.652
Ovary,25,75,0.81
Ovary,25,80,0.965
Ovary,25,85,1.103
Ovary,25,90,1.2
Ovary,25,95,1.244
Ovary,25,95,1.263
Ovary,30,5,?
Ovary,30,10,?
Ovary,30,15,?
Ovary,30,20,?
Ovary,30,25,?
Ovary,30,30,?
Ovary,30,35,0.017
Ovary,30,40,0.041
Ovary,30,45,0.085
Ovary,30,50,0.152
Ovary,30,55,0.246
Ovary,30,60,0.359
Ovary,30,65,0.491
Ovary,30,70,0.642
Ovary,30,75,0.8
Ovary,30,80,0.956
Ovary,30,85,1.094
Ovary,30,90,1.19
Ovary,30,95,1.235
Ovary,30,95,1.254
Ovary,35,5,?
Ovary,35,10,?
Ovary,35,15,?
Ovary,35,20,?
Ovary,35,25,?
Ovary,35,30,?
Ovary,35,35,?
Ovary,35,40,0.025
Ovary,35,45,0.068
Ovary,35,50,0.136
Ovary,35,55,0.23
Ovary,35,60,0.343
Ovary,35,65,0.476
Ovary,35,70,0.627
Ovary,35,75,0.786
Ovary,35,80,0.942
Ovary,35,85,1.081
Ovary,35,90,1.178
Ovary,35,95,1.222
Ovary,35,95,1.241
Ovary,40,5,?
Ovary,40,10,?
Ovary,40,15,?
Ovary,40,20,?
Ovary,40,25,?
Ovary,40,30,?
Ovary,40,35,?
Ovary,40,40,?
Ovary,40,45,0.044
Ovary,40,50,0.112
Ovary,40,55,0.206
Ovary,40,60,0.32
Ovary,40,65,0.454
Ovary,40,70,0.606
Ovary,40,75,0.765
Ovary,40,80,0.922
Ovary,40,85,1.062
Ovary,40,90,1.159
Ovary,40,95,1.204
Ovary,40,95,1.223
Ovary,45,5,?
Ovary,45,10,?
Ovary,45,15,?
Ovary,45,20,?
Ovary,45,25,?
Ovary,45,30,?
Ovary,45,35,?
Ovary,45,40,?
Ovary,45,45,?
Ovary,45,50,0.068
Ovary,45,55,0.164
Ovary,45,60,0.278
Ovary,45,65,0.413
Ovary,45,70,0.566
Ovary,45,75,0.727
Ovary,45,80,0.885
Ovary,45,85,1.025
Ovary,45,90,1.124
Ovary,45,95,1.169
Ovary,45,95,1.188
Ovary,50,5,?
Ovary,50,10,?
Ovary,50,15,?
Ovary,50,20,?
Ovary,50,25,?
Ovary,50,30,?
Ovary,50,35,?
Ovary,50,40,?
Ovary,50,45,?
Ovary,50,50,?
Ovary,50,55,0.097
Ovary,50,60,0.213
Ovary,50,65,0.349
Ovary,50,70,0.504
Ovary,50,75,0.666
Ovary,50,80,0.827
Ovary,50,85,0.969
Ovary,50,90,1.068
Ovary,50,95,1.114
Ovary,50,95,1.133
Ovary,55,5,?
Ovary,55,10,?
Ovary,55,15,?
Ovary,55,20,?
Ovary,55,25,?
Ovary,55,30,?
Ovary,55,35,?
Ovary,55,40,?
Ovary,55,45,?
Ovary,55,50,?
Ovary,55,55,?
Ovary,55,60,0.118
Ovary,55,65,0.257
Ovary,55,70,0.415
Ovary,55,75,0.58
Ovary,55,80,0.744
Ovary,55,85,0.888
Ovary,55,90,0.99
Ovary,55,95,1.036
Ovary,55,95,1.056
Ovary,60,5,?
Ovary,60,10,?
Ovary,60,15,?
Ovary,60,20,?
Ovary,60,25,?
Ovary,60,30,?
Ovary,60,35,?
Ovary,60,40,?
Ovary,60,45,?
Ovary,60,50,?
Ovary,60,55,?
Ovary,60,60,?
Ovary,60,65,0.143
Ovary,60,70,0.305
Ovary,60,75,0.475
Ovary,60,80,0.642
Ovary,60,85,0.791
Ovary,60,90,0.895
Ovary,60,95,0.943
Ovary,60,95,0.963
Ovary,65,5,?
Ovary,65,10,?
Ovary,65,15,?
Ovary,65,20,?
Ovary,65,25,?
Ovary,65,30,?
Ovary,65,35,?
Ovary,65,40,?
Ovary,65,45,?
Ovary,65,50,?
Ovary,65,55,?
Ovary,65,60,?
Ovary,65,65,?
Ovary,65,70,0.168
Ovary,65,75,0.345
Ovary,65,80,0.519
Ovary,65,85,0.674
Ovary,65,90,0.782
Ovary,65,95,0.831
Ovary,65,95,0.853
Ovary,70,5,?
Ovary,70,10,?
Ovary,70,15,?
Ovary,70,20,?
Ovary,70,25,?
Ovary,70,30,?
Ovary,70,35,?
Ovary,70,40,?
Ovary,70,45,?
Ovary,70,50,?
Ovary,70,55,?
Ovary,70,60,?
Ovary,70,65,?
Ovary,70,70,?
Ovary,70,75,0.187
Ovary,70,80,0.372
Ovary,70,85,0.535
Ovary,70,90,0.65
Ovary,70,95,0.702
Ovary,70,95,0.725
Ovary,75,5,?
Ovary,75,10,?
Ovary,75,15,?
Ovary,75,20,?
Ovary,75,25,?
Ovary,75,30,?
Ovary,75,35,?
Ovary,75,40,?
Ovary,75,45,?
Ovary,75,50,?
Ovary,75,55,?
Ovary,75,60,?
Ovary,75,65,?
Ovary,75,70,?
Ovary,75,75,?
Ovary,75,80,0.202
Ovary,75,85,0.381
Ovary,75,90,0.507
Ovary,75,95,0.564
Ovary,75,95,0.589
Ovary,80,5,?
Ovary,80,10,?
Ovary,80,15,?
Ovary,80,20,?
Ovary,80,25,?
Ovary,80,30,?
Ovary,80,35,?
Ovary,80,40,?
Ovary,80,45,?
Ovary,80,50,?
Ovary,80,55,?
Ovary,80,60,?
Ovary,80,65,?
Ovary,80,70,?
Ovary,80,75,?
Ovary,80,80,?
Ovary,80,85,0.209
Ovary,80,90,0.355
Ovary,80,95,0.421
Ovary,80,95,0.45
Ovary,85,5,?
Ovary,85,10,?
Ovary,85,15,?
Ovary,85,20,?
Ovary,85,25,?
Ovary,85,30,?
Ovary,85,35,?
Ovary,85,40,?
Ovary,85,45,?
Ovary,85,50,?
Ovary,85,55,?
Ovary,85,60,?
Ovary,85,65,?
Ovary,85,70,?
Ovary,85,75,?
Ovary,85,80,?
Ovary,85,85,?
Ovary,85,90,0.189
Ovary,85,95,0.276
Ovary,85,95,0.313
Ovary,90,5,?
Ovary,90,10,?
Ovary,90,15,?
Ovary,90,20,?
Ovary,90,25,?
Ovary,90,30,?
Ovary,90,35,?
Ovary,90,40,?
Ovary,90,45,?
Ovary,90,50,?
Ovary,90,55,?
Ovary,90,60,?
Ovary,90,65,?
Ovary,90,70,?
Ovary,90,75,?
Ovary,90,80,?
Ovary,90,85,?
Ovary,90,90,?
Ovary,90,95,0.138
Ovary,90,95,0.196
Ovary,95,5,?
Ovary,95,10,?
Ovary,95,15,?
Ovary,95,20,?
Ovary,95,25,?
Ovary,95,30,?
Ovary,95,35,?
Ovary,95,40,?
Ovary,95,45,?
Ovary,95,50,?
Ovary,95,55,?
Ovary,95,60,?
Ovary,95,65,?
Ovary,95,70,?
Ovary,95,75,?
Ovary,95,80,?
Ovary,95,85,?
Ovary,95,90,?
Ovary,95,95,?
Ovary,95,95,0.128
'Brain and Other Nervous System',0,5,0.02
'Brain and Other Nervous System',0,10,0.037
'Brain and Other Nervous System',0,15,0.049
'Brain and Other Nervous System',0,20,0.06
'Brain and Other Nervous System',0,25,0.07
'Brain and Other Nervous System',0,30,0.082
'Brain and Other Nervous System',0,35,0.095
'Brain and Other Nervous System',0,40,0.11
'Brain and Other Nervous System',0,45,0.127
'Brain and Other Nervous System',0,50,0.149
'Brain and Other Nervous System',0,55,0.179
'Brain and Other Nervous System',0,60,0.217
'Brain and Other Nervous System',0,65,0.26
'Brain and Other Nervous System',0,70,0.315
'Brain and Other Nervous System',0,75,0.377
'Brain and Other Nervous System',0,80,0.436
'Brain and Other Nervous System',0,85,0.489
'Brain and Other Nervous System',0,90,0.524
'Brain and Other Nervous System',0,95,0.541
'Brain and Other Nervous System',0,95,0.548
'Brain and Other Nervous System',5,5,?
'Brain and Other Nervous System',5,10,0.018
'Brain and Other Nervous System',5,15,0.03
'Brain and Other Nervous System',5,20,0.041
'Brain and Other Nervous System',5,25,0.051
'Brain and Other Nervous System',5,30,0.063
'Brain and Other Nervous System',5,35,0.076
'Brain and Other Nervous System',5,40,0.091
'Brain and Other Nervous System',5,45,0.108
'Brain and Other Nervous System',5,50,0.131
'Brain and Other Nervous System',5,55,0.161
'Brain and Other Nervous System',5,60,0.199
'Brain and Other Nervous System',5,65,0.243
'Brain and Other Nervous System',5,70,0.299
'Brain and Other Nervous System',5,75,0.361
'Brain and Other Nervous System',5,80,0.42
'Brain and Other Nervous System',5,85,0.474
'Brain and Other Nervous System',5,90,0.51
'Brain and Other Nervous System',5,95,0.526
'Brain and Other Nervous System',5,95,0.534
'Brain and Other Nervous System',10,5,?
'Brain and Other Nervous System',10,10,?
'Brain and Other Nervous System',10,15,0.013
'Brain and Other Nervous System',10,20,0.023
'Brain and Other Nervous System',10,25,0.033
'Brain and Other Nervous System',10,30,0.045
'Brain and Other Nervous System',10,35,0.059
'Brain and Other Nervous System',10,40,0.074
'Brain and Other Nervous System',10,45,0.091
'Brain and Other Nervous System',10,50,0.113
'Brain and Other Nervous System',10,55,0.143
'Brain and Other Nervous System',10,60,0.182
'Brain and Other Nervous System',10,65,0.226
'Brain and Other Nervous System',10,70,0.281
'Brain and Other Nervous System',10,75,0.343
'Brain and Other Nervous System',10,80,0.403
'Brain and Other Nervous System',10,85,0.457
'Brain and Other Nervous System',10,90,0.493
'Brain and Other Nervous System',10,95,0.509
'Brain and Other Nervous System',10,95,0.517
'Brain and Other Nervous System',15,5,?
'Brain and Other Nervous System',15,10,?
'Brain and Other Nervous System',15,15,?
'Brain and Other Nervous System',15,20,0.011
'Brain and Other Nervous System',15,25,0.021
'Brain and Other Nervous System',15,30,0.033
'Brain and Other Nervous System',15,35,0.046
'Brain and Other Nervous System',15,40,0.061
'Brain and Other Nervous System',15,45,0.078
'Brain and Other Nervous System',15,50,0.101
'Brain and Other Nervous System',15,55,0.131
'Brain and Other Nervous System',15,60,0.169
'Brain and Other Nervous System',15,65,0.213
'Brain and Other Nervous System',15,70,0.269
'Brain and Other Nervous System',15,75,0.331
'Brain and Other Nervous System',15,80,0.391
'Brain and Other Nervous System',15,85,0.445
'Brain and Other Nervous System',15,90,0.48
'Brain and Other Nervous System',15,95,0.497
'Brain and Other Nervous System',15,95,0.505
'Brain and Other Nervous System',20,5,?
'Brain and Other Nervous System',20,10,?
'Brain and Other Nervous System',20,15,?
'Brain and Other Nervous System',20,20,?
'Brain and Other Nervous System',20,25,0.01
'Brain and Other Nervous System',20,30,0.022
'Brain and Other Nervous System',20,35,0.035
'Brain and Other Nervous System',20,40,0.05
'Brain and Other Nervous System',20,45,0.067
'Brain and Other Nervous System',20,50,0.09
'Brain and Other Nervous System',20,55,0.12
'Brain and Other Nervous System',20,60,0.158
'Brain and Other Nervous System',20,65,0.203
'Brain and Other Nervous System',20,70,0.258
'Brain and Other Nervous System',20,75,0.32
'Brain and Other Nervous System',20,80,0.38
'Brain and Other Nervous System',20,85,0.434
'Brain and Other Nervous System',20,90,0.47
'Brain and Other Nervous System',20,95,0.486
'Brain and Other Nervous System',20,95,0.494
'Brain and Other Nervous System',25,5,?
'Brain and Other Nervous System',25,10,?
'Brain and Other Nervous System',25,15,?
'Brain and Other Nervous System',25,20,?
'Brain and Other Nervous System',25,25,?
'Brain and Other Nervous System',25,30,0.012
'Brain and Other Nervous System',25,35,0.025
'Brain and Other Nervous System',25,40,0.04
'Brain and Other Nervous System',25,45,0.057
'Brain and Other Nervous System',25,50,0.08
'Brain and Other Nervous System',25,55,0.111
'Brain and Other Nervous System',25,60,0.149
'Brain and Other Nervous System',25,65,0.193
'Brain and Other Nervous System',25,70,0.249
'Brain and Other Nervous System',25,75,0.311
'Brain and Other Nervous System',25,80,0.371
'Brain and Other Nervous System',25,85,0.425
'Brain and Other Nervous System',25,90,0.461
'Brain and Other Nervous System',25,95,0.478
'Brain and Other Nervous System',25,95,0.485
'Brain and Other Nervous System',30,5,?
'Brain and Other Nervous System',30,10,?
'Brain and Other Nervous System',30,15,?
'Brain and Other Nervous System',30,20,?
'Brain and Other Nervous System',30,25,?
'Brain and Other Nervous System',30,30,?
'Brain and Other Nervous System',30,35,0.014
'Brain and Other Nervous System',30,40,0.029
'Brain and Other Nervous System',30,45,0.046
'Brain and Other Nervous System',30,50,0.068
'Brain and Other Nervous System',30,55,0.099
'Brain and Other Nervous System',30,60,0.137
'Brain and Other Nervous System',30,65,0.182
'Brain and Other Nervous System',30,70,0.238
'Brain and Other Nervous System',30,75,0.3
'Brain and Other Nervous System',30,80,0.36
'Brain and Other Nervous System',30,85,0.415
'Brain and Other Nervous System',30,90,0.45
'Brain and Other Nervous System',30,95,0.467
'Brain and Other Nervous System',30,95,0.475
'Brain and Other Nervous System',35,5,?
'Brain and Other Nervous System',35,10,?
'Brain and Other Nervous System',35,15,?
'Brain and Other Nervous System',35,20,?
'Brain and Other Nervous System',35,25,?
'Brain and Other Nervous System',35,30,?
'Brain and Other Nervous System',35,35,?
'Brain and Other Nervous System',35,40,0.015
'Brain and Other Nervous System',35,45,0.032
'Brain and Other Nervous System',35,50,0.055
'Brain and Other Nervous System',35,55,0.086
'Brain and Other Nervous System',35,60,0.124
'Brain and Other Nervous System',35,65,0.169
'Brain and Other Nervous System',35,70,0.225
'Brain and Other Nervous System',35,75,0.288
'Brain and Other Nervous System',35,80,0.348
