@relation FemaleData

@attribute 'Cancer Site' {'All Sites','Colon and Rectum','Lung and Bronchus',Ovary,'Brain and Other Nervous System','Female Breast'}
@attribute 'Cancer Free Age' numeric
@attribute 'Probability of Developing Cancer (\%) by Age' numeric
@attribute Risk numeric

@data
'All Sites',55,40,?
'All Sites',55,45,?
'All Sites',55,50,?
'All Sites',55,55,?
'All Sites',55,60,3.551
'All Sites',55,65,7.883
'All Sites',55,70,13.042
'All Sites',55,75,18.547
'All Sites',55,80,23.886
'All Sites',55,85,28.426
'All Sites',55,90,31.595
'All Sites',55,95,33.179
'All Sites',55,95,33.889
'All Sites',60,5,?
'All Sites',60,10,?
'All Sites',60,15,?
'All Sites',60,20,?
'All Sites',60,25,?
'All Sites',60,30,?
'All Sites',60,35,?
'All Sites',60,40,?
'All Sites',60,45,?
'All Sites',60,50,?
'All Sites',60,55,?
'All Sites',60,60,?
'All Sites',60,65,4.567
'All Sites',60,70,10.006
'All Sites',60,75,15.809
'All Sites',60,80,21.437
'All Sites',60,85,26.222
'All Sites',60,90,29.563
'All Sites',60,95,31.233
'All Sites',60,95,31.982
'All Sites',65,5,?
'All Sites',65,10,?
'All Sites',65,15,?
'All Sites',65,20,?
'All Sites',65,25,?
'All Sites',65,30,?
'All Sites',65,35,?
'All Sites',65,40,?
'All Sites',65,45,?
'All Sites',65,50,?
'All Sites',65,55,?
'All Sites',65,60,?
'All Sites',65,65,?
'All Sites',65,70,5.836
'All Sites',65,75,12.063
'All Sites',65,80,18.102
'All Sites',65,85,23.236
'All Sites',65,90,26.821
'All Sites',65,95,28.613
'All Sites',65,95,29.416
'All Sites',70,5,?
'All Sites',70,10,?
'All Sites',70,15,?
'All Sites',70,20,?
'All Sites',70,25,?
'All Sites',70,30,?
'All Sites',70,35,?
'All Sites',70,40,?
'All Sites',70,45,?
'All Sites',70,50,?
'All Sites',70,55,?
'All Sites',70,60,?
'All Sites',70,65,?
'All Sites',70,70,?
'All Sites',70,75,6.86
'All Sites',70,80,13.514
'All Sites',70,85,19.17
'All Sites',70,90,23.119
'All Sites',70,95,25.094
'All Sites',70,95,25.978
'All Sites',75,5,?
'All Sites',75,10,?
'All Sites',75,15,?
'All Sites',75,20,?
'All Sites',75,25,?
'All Sites',75,30,?
'All Sites',75,35,?
'All Sites',75,40,?
'All Sites',75,45,?
'All Sites',75,50,?
'All Sites',75,55,?
'All Sites',75,60,?
'All Sites',75,65,?
'All Sites',75,70,?
'All Sites',75,75,?
'All Sites',75,80,7.609
'All Sites',75,85,14.077
'All Sites',75,90,18.594
'All Sites',75,95,20.852
'All Sites',75,95,21.863
'All Sites',80,5,?
'All Sites',80,10,?
'All Sites',80,15,?
'All Sites',80,20,?
'All Sites',80,25,?
'All Sites',80,30,?
'All Sites',80,35,?
'All Sites',80,40,?
'All Sites',80,45,?
'All Sites',80,50,?
'All Sites',80,55,?
'All Sites',80,60,?
'All Sites',80,65,?
'All Sites',80,70,?
'All Sites',80,75,?
'All Sites',80,80,?
'All Sites',80,85,7.853
'All Sites',80,90,13.336
'All Sites',80,95,16.077
'All Sites',80,95,17.305
'All Sites',85,5,?
'All Sites',85,10,?
'All Sites',85,15,?
'All Sites',85,20,?
'All Sites',85,25,?
'All Sites',85,30,?
'All Sites',85,35,?
'All Sites',85,40,?
'All Sites',85,45,?
'All Sites',85,50,?
'All Sites',85,55,?
'All Sites',85,60,?
'All Sites',85,65,?
'All Sites',85,70,?
'All Sites',85,75,?
'All Sites',85,80,?
'All Sites',85,85,?
'All Sites',85,90,7.397
'All Sites',85,95,11.095
'All Sites',85,95,12.752
'All Sites',90,5,?
'All Sites',90,10,?
'All Sites',90,15,?
'All Sites',90,20,?
'All Sites',90,25,?
'All Sites',90,30,?
'All Sites',90,35,?
'All Sites',90,40,?
'All Sites',90,45,?
'All Sites',90,50,?
'All Sites',90,55,?
'All Sites',90,60,?
'All Sites',90,65,?
'All Sites',90,70,?
'All Sites',90,75,?
'All Sites',90,80,?
'All Sites',90,85,?
'All Sites',90,90,?
'All Sites',90,95,6.043
'All Sites',90,95,8.75
'All Sites',95,5,?
'All Sites',95,10,?
'All Sites',95,15,?
'All Sites',95,20,?
'All Sites',95,25,?
'All Sites',95,30,?
'All Sites',95,35,?
'All Sites',95,40,?
'All Sites',95,45,?
'All Sites',95,50,?
'All Sites',95,55,?
'All Sites',95,60,?
'All Sites',95,65,?
'All Sites',95,70,?
'All Sites',95,75,?
'All Sites',95,80,?
'All Sites',95,85,?
'All Sites',95,90,?
'All Sites',95,95,?
'All Sites',95,95,6.015
'Colon and Rectum',0,5,0
'Colon and Rectum',0,10,0.001
'Colon and Rectum',0,15,0.003
'Colon and Rectum',0,20,0.008
'Colon and Rectum',0,25,0.016
'Colon and Rectum',0,30,0.031
'Colon and Rectum',0,35,0.06
'Colon and Rectum',0,40,0.109
'Colon and Rectum',0,45,0.196
'Colon and Rectum',0,50,0.342
'Colon and Rectum',0,55,0.577
'Colon and Rectum',0,60,0.843
'Colon and Rectum',0,65,1.168
'Colon and Rectum',0,70,1.58
'Colon and Rectum',0,75,2.067
'Colon and Rectum',0,80,2.634
'Colon and Rectum',0,85,3.224
'Colon and Rectum',0,90,3.7
'Colon and Rectum',0,95,3.952
'Colon and Rectum',0,95,4.06
'Colon and Rectum',5,5,?
'Colon and Rectum',5,10,0.001
'Colon and Rectum',5,15,0.003
'Colon and Rectum',5,20,0.008
'Colon and Rectum',5,25,0.016
'Colon and Rectum',5,30,0.031
'Colon and Rectum',5,35,0.06
'Colon and Rectum',5,40,0.11
'Colon and Rectum',5,45,0.198
'Colon and Rectum',5,50,0.345
'Colon and Rectum',5,55,0.582
'Colon and Rectum',5,60,0.851
'Colon and Rectum',5,65,1.178
'Colon and Rectum',5,70,1.595
'Colon and Rectum',5,75,2.086
'Colon and Rectum',5,80,2.659
'Colon and Rectum',5,85,3.254
'Colon and Rectum',5,90,3.734
'Colon and Rectum',5,95,3.989
'Colon and Rectum',5,95,4.097
'Colon and Rectum',10,5,?
'Colon and Rectum',10,10,?
'Colon and Rectum',10,15,0.002
'Colon and Rectum',10,20,0.007
'Colon and Rectum',10,25,0.015
'Colon and Rectum',10,30,0.03
'Colon and Rectum',10,35,0.059
'Colon and Rectum',10,40,0.109
'Colon and Rectum',10,45,0.197
'Colon and Rectum',10,50,0.345
'Colon and Rectum',10,55,0.582
'Colon and Rectum',10,60,0.851
'Colon and Rectum',10,65,1.179
'Colon and Rectum',10,70,1.595
'Colon and Rectum',10,75,2.087
'Colon and Rectum',10,80,2.659
'Colon and Rectum',10,85,3.255
'Colon and Rectum',10,90,3.736
'Colon and Rectum',10,95,3.99
'Colon and Rectum',10,95,4.099
'Colon and Rectum',15,5,?
'Colon and Rectum',15,10,?
'Colon and Rectum',15,15,?
'Colon and Rectum',15,20,0.005
'Colon and Rectum',15,25,0.013
'Colon and Rectum',15,30,0.028
'Colon and Rectum',15,35,0.057
'Colon and Rectum',15,40,0.107
'Colon and Rectum',15,45,0.195
'Colon and Rectum',15,50,0.343
'Colon and Rectum',15,55,0.58
'Colon and Rectum',15,60,0.849
'Colon and Rectum',15,65,1.177
